step,price,action,action_name,reward,balance,position,entry_price,sl,tp,log_prob,value_estimate
0,3626.48,1,BUY_OR_CLOSE_SELL,-0.012,999.5,1,3983.9520055565963,3944.1124855010303,4063.6310456677284,-0.2962760329246521,0.02380785532295704
1,3640.74,2,SELL_OR_CLOSE_BUY,13.256585184007422,1012.7685851840074,0,0.0,0.0,0.0,-0.5507757663726807,0.03075033612549305
2,3634.09,1,BUY_OR_CLOSE_SELL,-0.012,1012.2685851840074,1,3976.3511429169857,3936.587631487816,4055.8781657753257,-0.3389574885368347,0.02922970987856388
3,3643.13,2,SELL_OR_CLOSE_BUY,10.153671625908505,1022.434256809916,0,0.0,0.0,0.0,-0.7391042709350586,0.015326106920838356
4,3679.13,1,BUY_OR_CLOSE_SELL,-0.012,1021.934256809916,1,4110.771681407017,4069.663964592947,4192.987115035157,-0.3169308304786682,0.01646197773516178
5,3689.8,2,SELL_OR_CLOSE_BUY,7.317387331136306,1029.2636441410523,0,0.0,0.0,0.0,-0.5681353807449341,0.02774720825254917
6,3660.04,1,BUY_OR_CLOSE_SELL,-0.012,1028.7636441410523,1,4208.727188640206,4166.639916753804,4292.90173241301,-0.3119952082633972,0.021840723231434822
7,3644.36,2,SELL_OR_CLOSE_BUY,20.083272882821042,1048.8489170238734,0,0.0,0.0,0.0,-0.4700045585632324,0.032026588916778564
8,3684.98,1,BUY_OR_CLOSE_SELL,-0.012,1048.3489170238734,1,4250.091900709147,4207.590981702056,4335.09373872333,-0.34124237298965454,0.02325175143778324
9,3746.47,2,SELL_OR_CLOSE_BUY,20.474978340477435,1068.8258953643508,0,0.0,0.0,0.0,-0.5535699129104614,0.029670095071196556
10,3764.19,1,BUY_OR_CLOSE_SELL,-0.012,1068.3258953643508,1,4125.207675090431,4083.955598339526,4207.71182859224,-0.37093019485473633,0.03333974629640579
11,3736.29,1,BUY_OR_CLOSE_SELL,-0.08297649813236055,1068.3258953643508,1,4125.207675090431,4083.955598339526,4207.71182859224,-0.5410364866256714,0.0012393984943628311
12,3749.37,1,BUY_OR_CLOSE_SELL,0.00020771882159996338,1068.3258953643508,1,4125.207675090431,4083.955598339526,4207.71182859224,-0.5595828294754028,0.0047071147710084915
13,3760.24,1,BUY_OR_CLOSE_SELL,-0.03626994209656458,1068.3258953643508,1,4125.207675090431,4083.955598339526,4207.71182859224,-0.5357390642166138,0.004121759906411171
14,3833.93,1,BUY_OR_CLOSE_SELL,-11.19025895364356,1057.1376364107073,0,0.0,0.0,0.0,-0.44188761711120605,-0.010907841846346855
15,3858.51,1,BUY_OR_CLOSE_SELL,-0.012,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.3459849953651428,0.03291349112987518
16,3865.8,1,BUY_OR_CLOSE_SELL,-0.062014235951032844,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.4263501763343811,-0.015387473627924919
17,3856.53,1,BUY_OR_CLOSE_SELL,0.18955147644848783,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.43951696157455444,-0.007078809663653374
18,3886.83,1,BUY_OR_CLOSE_SELL,0.13031376386680174,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.43096596002578735,0.0035284478217363358
19,3961.09,1,BUY_OR_CLOSE_SELL,0.1285972176311497,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.4325435757637024,0.013945752754807472
20,3983.82,1,BUY_OR_CLOSE_SELL,-0.05759734208188487,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.4370262622833252,0.017367759719491005
21,4038.9,1,BUY_OR_CLOSE_SELL,0.0777187075556619,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.44339078664779663,0.01899355836212635
22,3976.29,1,BUY_OR_CLOSE_SELL,0.06498979090560508,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.4500252604484558,0.02787415124475956
23,4018.3,1,BUY_OR_CLOSE_SELL,0.12356188880359603,1056.6376364107073,1,3952.7154870905138,3913.1883322196086,4031.769796832324,-0.45780450105667114,0.035968564450740814
24,4110.7,1,BUY_OR_CLOSE_SELL,20.640752728214167,1077.2803891389215,0,0.0,0.0,0.0,-0.46855229139328003,0.05339140444993973
25,4142.31,1,BUY_OR_CLOSE_SELL,-0.012,1076.7803891389215,1,4126.8013169482065,4085.5333037787245,4209.33734328717,-0.3925948739051819,0.0018106941133737564
26,4208.58,1,BUY_OR_CLOSE_SELL,0.18558221444188752,1076.7803891389215,1,4126.8013169482065,4085.5333037787245,4209.33734328717,-0.4857984185218811,0.055513687431812286
27,4326.18,1,BUY_OR_CLOSE_SELL,0.11430456895904362,1076.7803891389215,1,4126.8013169482065,4085.5333037787245,4209.33734328717,-0.47064340114593506,0.044983185827732086
28,4249.98,1,BUY_OR_CLOSE_SELL,-11.274803891389183,1065.5075852475322,0,0.0,0.0,0.0,-0.4354276657104492,0.014998042955994606
29,4356.5,1,BUY_OR_CLOSE_SELL,-0.012,1065.0075852475322,1,4044.731248607197,4004.283936121125,4125.625873579341,-0.35582423210144043,0.019176365807652473
30,4125.1,1,BUY_OR_CLOSE_SELL,0.05875846722964534,1065.0075852475322,1,4044.731248607197,4004.283936121125,4125.625873579341,-0.4372405409812927,0.004930848255753517
31,4094.07,1,BUY_OR_CLOSE_SELL,0.0951029837896721,1065.0075852475322,1,4044.731248607197,4004.283936121125,4125.625873579341,-0.44112062454223633,0.007447103038430214
32,4126.17,1,BUY_OR_CLOSE_SELL,0.08394779347101673,1065.0075852475322,1,4044.731248607197,4004.283936121125,4125.625873579341,-0.4411337971687317,0.00561903603374958
33,4112.1,1,BUY_OR_CLOSE_SELL,0.05343996621111207,1065.0075852475322,1,4044.731248607197,4004.283936121125,4125.625873579341,-0.43910545110702515,0.0023868847638368607
34,3981.59,1,BUY_OR_CLOSE_SELL,20.80815170495063,1085.8177369524828,0,0.0,0.0,0.0,-0.47566527128219604,0.012594753876328468
35,3952.58,1,BUY_OR_CLOSE_SELL,-0.012,1085.3177369524828,1,4131.208309277615,4089.8962261848387,4213.832475463167,-0.3673962950706482,-0.0016655530780553818
36,3930.38,1,BUY_OR_CLOSE_SELL,0.0853744348603519,1085.3177369524828,1,4131.208309277615,4089.8962261848387,4213.832475463167,-0.48316746950149536,0.02716873772442341
37,4024.47,1,BUY_OR_CLOSE_SELL,0.066962956162687,1085.3177369524828,1,4131.208309277615,4089.8962261848387,4213.832475463167,-0.4747462868690491,0.03005596436560154
38,4002.28,1,BUY_OR_CLOSE_SELL,21.214354739049575,1106.5340916915325,0,0.0,0.0,0.0,-0.5287297368049622,0.037709690630435944
39,4001.67,1,BUY_OR_CLOSE_SELL,-0.012,1106.0340916915325,1,4232.871665999964,4190.542949339964,4317.529099319963,-0.3655690550804138,0.006353462114930153
40,3932.05,1,BUY_OR_CLOSE_SELL,-0.06698396449766518,1106.0340916915325,1,4232.871665999964,4190.542949339964,4317.529099319963,-0.5020961761474609,0.03495863080024719
41,3982.62,1,BUY_OR_CLOSE_SELL,-0.07180587366447323,1106.0340916915325,1,4232.871665999964,4190.542949339964,4317.529099319963,-0.489435613155365,0.029250213876366615
42,3977.87,1,BUY_OR_CLOSE_SELL,-0.06543751634889103,1106.0340916915325,1,4232.871665999964,4190.542949339964,4317.529099319963,-0.4920423626899719,0.029271187260746956
43,3999.72,1,BUY_OR_CLOSE_SELL,-0.09563624498697643,1106.0340916915325,1,4232.871665999964,4190.542949339964,4317.529099319963,-0.4750201106071472,0.023537876084446907
44,4115.9,1,BUY_OR_CLOSE_SELL,-11.567340916915256,1094.4687507746173,0,0.0,0.0,0.0,-0.45744162797927856,0.01622162200510502
45,4126.68,1,BUY_OR_CLOSE_SELL,-0.012,1093.9687507746173,1,4209.60112830611,4167.505117023049,4293.793150872232,-0.3436029553413391,0.0046654436737298965
46,4198.73,1,BUY_OR_CLOSE_SELL,0.04712403876610245,1093.9687507746173,1,4209.60112830611,4167.505117023049,4293.793150872232,-0.49653029441833496,0.023501070216298103
47,4171.46,1,BUY_OR_CLOSE_SELL,0.1893182296239579,1093.9687507746173,1,4209.60112830611,4167.505117023049,4293.793150872232,-0.5638134479522705,0.023269446566700935
48,4079.58,1,BUY_OR_CLOSE_SELL,21.38737501549241,1115.3581257901096,0,0.0,0.0,0.0,-0.5854814052581787,0.027349034324288368
49,4044.61,1,BUY_OR_CLOSE_SELL,-0.012,1114.8581257901096,1,4302.789683834327,4259.761786995983,4388.845477511013,-0.32440656423568726,0.01168004609644413
50,4067.88,1,BUY_OR_CLOSE_SELL,0.0004201757078044731,1114.8581257901096,1,4302.789683834327,4259.761786995983,4388.845477511013,-0.5677238702774048,0.02588176168501377
51,4081.66,1,BUY_OR_CLOSE_SELL,0.09706333130483649,1114.8581257901096,1,4302.789683834327,4259.761786995983,4388.845477511013,-0.6180899143218994,0.028234409168362617
52,4077.5,1,BUY_OR_CLOSE_SELL,0.07442880711493119,1114.8581257901096,1,4302.789683834327,4259.761786995983,4388.845477511013,-0.5922715663909912,0.02951687015593052
53,4065.9,1,BUY_OR_CLOSE_SELL,0.09048915229922652,1114.8581257901096,1,4302.789683834327,4259.761786995983,4388.845477511013,-0.6019609570503235,0.02963429130613804
54,4139.7,1,BUY_OR_CLOSE_SELL,21.80516251580214,1136.6652883059119,0,0.0,0.0,0.0,-0.7377920150756836,0.02601526863873005
55,4131.15,1,BUY_OR_CLOSE_SELL,-0.012,1136.1652883059119,1,4488.942221073148,4444.052798862416,4578.721065494611,-0.274117648601532,0.002308206632733345
56,4164.59,1,BUY_OR_CLOSE_SELL,-0.02568929681087434,1136.1652883059119,1,4488.942221073148,4444.052798862416,4578.721065494611,-0.7733421325683594,0.023327575996518135
57,4157.57,1,BUY_OR_CLOSE_SELL,0.013866663234735026,1136.1652883059119,1,4488.942221073148,4444.052798862416,4578.721065494611,-0.8024030923843384,0.022357722744345665
58,4230.63,2,SELL_OR_CLOSE_BUY,10.523194069111712,1146.7004823750235,0,0.0,0.0,0.0,-0.749651312828064,0.01774000935256481
59,4232.73,1,BUY_OR_CLOSE_SELL,-0.012,1146.2004823750235,1,4332.212640601686,4288.890514195669,4418.85689341372,-0.32483571767807007,0.015566075220704079
60,4208.14,1,BUY_OR_CLOSE_SELL,0.03550415662952154,1146.2004823750235,1,4332.212640601686,4288.890514195669,4418.85689341372,-0.444709837436676,7.18478113412857e-05
61,4206.22,1,BUY_OR_CLOSE_SELL,-0.04767825265845245,1146.2004823750235,1,4332.212640601686,4288.890514195669,4418.85689341372,-0.4297320246696472,-0.0015252884477376938
62,4208.69,1,BUY_OR_CLOSE_SELL,0.04053065258903696,1146.2004823750235,1,4332.212640601686,4288.890514195669,4418.85689341372,-0.4397122859954834,0.002020725980401039
63,4197.13,1,BUY_OR_CLOSE_SELL,-0.006709278386912947,1146.2004823750235,1,4332.212640601686,4288.890514195669,4418.85689341372,-0.4312132000923157,0.002253817394375801
