step,action,reward,balance,position
0,1,-0.012,999.5,1
1,2,13.260834515580779,1012.7728345155808,0
2,1,-0.012,1012.2728345155808,1
3,2,10.146130539375553,1022.4309650549563,0
4,1,-0.012,1021.9309650549563,1
5,2,7.293455525224321,1029.2364205801807,0
6,1,-0.012,1028.7364205801807,1
7,2,20.082728411603604,1048.8211489917844,0
8,1,-0.012,1048.3211489917844,1
9,2,20.47442297983576,1068.79757197162,0
10,1,-0.012,1068.29757197162,1
11,1,-0.08295028654885787,1068.29757197162,1
12,1,0.00016399688861731517,1068.29757197162,1
13,1,-0.03620881367924207,1068.29757197162,1
14,1,-11.189975719716191,1057.109596251904,0
15,1,-0.012,1056.609596251904,1
16,1,-0.06193038443847652,1056.609596251904,1
17,1,0.18969938004117157,1056.609596251904,1
18,1,0.130572040655837,1056.609596251904,1
19,1,0.12894615061999248,1056.609596251904,1
20,1,-0.057484206036922114,1056.609596251904,1
21,1,0.07787413424603394,1056.609596251904,1
22,1,0.06525572936369729,1056.609596251904,1
23,1,0.12358033142014502,1056.609596251904,1
24,1,20.640191925038117,1077.251788176942,0
25,1,-0.012,1076.751788176942,1
26,1,0.18570033407484313,1076.751788176942,1
27,1,0.11448640426421954,1076.751788176942,1
28,1,-11.274517881769393,1065.4792702951727,0
29,1,-0.012,1064.9792702951727,1
30,1,0.0587819979498363,1064.9792702951727,1
31,1,0.09517848268896185,1064.9792702951727,1
32,1,0.0841665619065144,1064.9792702951727,1
33,1,0.0536317994654497,1064.9792702951727,1
34,1,20.80758540590347,1085.788855701076,0
35,1,-0.012,1085.288855701076,1
36,1,0.08539271979115255,1085.288855701076,1
37,1,0.06710527004987174,1085.288855701076,1
38,1,21.21377711402151,1106.5046328150975,0
39,1,-0.012,1106.0046328150975,1
40,1,-0.06682541041854213,1106.0046328150975,1
41,1,-0.07183649739581037,1106.0046328150975,1
42,1,-0.06547652701754504,1106.0046328150975,1
43,1,-0.0955124978724797,1106.0046328150975,1
44,1,-11.567046328151012,1094.4395864869464,0
45,1,-0.012,1093.9395864869464,1
46,1,0.04690687139979507,1093.9395864869464,1
47,1,0.18917255531527113,1093.9395864869464,1
48,1,21.38679172973905,1115.3283782166855,0
49,1,-0.012,1114.8283782166855,1
50,1,0.0004238855968689468,1114.8283782166855,1
51,1,0.09705467287343392,1114.8283782166855,1
52,1,0.07450158302265886,1114.8283782166855,1
53,1,0.09048793264526199,1114.8283782166855,1
54,1,21.804567564333713,1136.6349457810193,0
55,1,-0.012,1136.1349457810193,1
56,1,-0.025806843654977596,1136.1349457810193,1
57,1,0.01407055593861554,1136.1349457810193,1
58,2,10.538486208135629,1146.685431989155,0
59,1,-0.012,1146.185431989155,1
60,1,0.03565948893654449,1146.185431989155,1
