step,price,action,action_name,reward,balance,position,entry_price,sl,tp,log_prob,value_estimate
0,3626.48,1,BUY_OR_CLOSE_SELL,-0.012,999.5,1,3983.945191933855,3944.1057400145164,4063.624095772532,-0.5986268520355225,0.11415985226631165
1,3640.74,1,BUY_OR_CLOSE_SELL,0.13563082161458295,999.5,1,3983.945191933855,3944.1057400145164,4063.624095772532,-0.4649367332458496,0.06199709326028824
2,3634.09,1,BUY_OR_CLOSE_SELL,-0.021563657849755766,999.5,1,3983.945191933855,3944.1057400145164,4063.624095772532,-0.46106308698654175,0.06421808898448944
3,3643.13,1,BUY_OR_CLOSE_SELL,0.08395445283541755,999.5,1,3983.945191933855,3944.1057400145164,4063.624095772532,-0.45562976598739624,0.06594985723495483
4,3679.13,1,BUY_OR_CLOSE_SELL,19.49800000000006,1019.0000000000001,0,0.0,0.0,0.0,-0.4393097162246704,0.06746882945299149
5,3689.8,1,BUY_OR_CLOSE_SELL,-0.012,1018.5000000000001,1,4142.372045280448,4100.948324827644,4225.219486186057,-0.4392227530479431,0.06747721880674362
6,3660.04,1,BUY_OR_CLOSE_SELL,0.1605455687400874,1018.5000000000001,1,4142.372045280448,4100.948324827644,4225.219486186057,-0.4189620614051819,0.06970864534378052
7,3644.36,1,BUY_OR_CLOSE_SELL,19.877999999999986,1038.38,0,0.0,0.0,0.0,-0.3962406516075134,0.07317160815000534
8,3684.98,1,BUY_OR_CLOSE_SELL,-0.012,1037.88,1,4250.105549621028,4207.604494124818,4335.107660613449,-0.39592236280441284,0.07322868704795837
9,3746.47,1,BUY_OR_CLOSE_SELL,20.265600000000102,1058.1476000000002,0,0.0,0.0,0.0,-0.38554853200912476,0.07479202747344971
10,3764.19,1,BUY_OR_CLOSE_SELL,-0.012,1057.6476000000002,1,4125.194736567994,4083.9427892023145,4207.698631299354,-0.38352346420288086,0.07503725588321686
11,3736.29,1,BUY_OR_CLOSE_SELL,-0.08213177900811316,1057.6476000000002,1,4125.194736567994,4083.9427892023145,4207.698631299354,-0.3755757808685303,0.07591833919286728
12,3749.37,1,BUY_OR_CLOSE_SELL,0.0002378594006318224,1057.6476000000002,1,4125.194736567994,4083.9427892023145,4207.698631299354,-0.36807191371917725,0.07675668597221375
13,3760.24,1,BUY_OR_CLOSE_SELL,-0.03597027260101052,1057.6476000000002,1,4125.194736567994,4083.9427892023145,4207.698631299354,-0.360461950302124,0.0776229277253151
14,3833.93,1,BUY_OR_CLOSE_SELL,-11.083475999999973,1046.5661240000002,0,0.0,0.0,0.0,-0.35287702083587646,0.07855265587568283
15,3858.51,1,BUY_OR_CLOSE_SELL,-0.012,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.35197770595550537,0.0787893757224083
16,3865.8,1,BUY_OR_CLOSE_SELL,-0.06115512043551566,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.3481835126876831,0.07957348972558975
17,3856.53,1,BUY_OR_CLOSE_SELL,0.18798831337076977,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.3447854518890381,0.08033104240894318
18,3886.83,1,BUY_OR_CLOSE_SELL,0.12916320799970998,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.34114694595336914,0.08116959035396576
19,3961.09,1,BUY_OR_CLOSE_SELL,0.1273902034268727,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.3375941514968872,0.08203902095556259
20,3983.82,1,BUY_OR_CLOSE_SELL,-0.05682685091387836,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.33414530754089355,0.08292386680841446
21,4038.9,1,BUY_OR_CLOSE_SELL,0.07707619188018153,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.33132898807525635,0.08372464776039124
22,3976.29,1,BUY_OR_CLOSE_SELL,0.06445420552455451,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.32853686809539795,0.0845559611916542
23,4018.3,1,BUY_OR_CLOSE_SELL,0.12246923903845817,1046.0661240000002,1,3952.656817953942,3913.1302497744027,4031.709954313021,-0.32594799995422363,0.08538186550140381
24,4110.7,1,BUY_OR_CLOSE_SELL,20.42932248000003,1066.4974464800002,0,0.0,0.0,0.0,-0.322787880897522,0.08633268624544144
25,4142.31,1,BUY_OR_CLOSE_SELL,-0.012,1065.9974464800002,1,4126.742378081485,4085.47495430067,4209.277225643115,-0.32102227210998535,0.08687896281480789
26,4208.58,1,BUY_OR_CLOSE_SELL,0.1837520899352392,1065.9974464800002,1,4126.742378081485,4085.47495430067,4209.277225643115,-0.3180882930755615,0.08778790384531021
27,4326.18,1,BUY_OR_CLOSE_SELL,0.11333044689124937,1065.9974464800002,1,4126.742378081485,4085.47495430067,4209.277225643115,-0.3153989315032959,0.08864445239305496
28,4249.98,1,BUY_OR_CLOSE_SELL,-11.166974464800063,1054.8324720152002,0,0.0,0.0,0.0,-0.3134293556213379,0.08936645090579987
