step,price,action,action_name,reward,balance,position,entry_price,sl,tp,log_prob,value_estimate
0,3626.48,1,BUY_OR_CLOSE_SELL,-0.012,999.5,1,3983.8861813289677,3944.047319515678,4063.563904955547,-0.08804649114608765,-0.33152341842651367
1,3640.74,1,BUY_OR_CLOSE_SELL,0.13586191781026688,999.5,1,3983.8861813289677,3944.047319515678,4063.563904955547,-0.044506072998046875,-0.36453843116760254
2,3634.09,1,BUY_OR_CLOSE_SELL,-0.021407541692426424,999.5,1,3983.8861813289677,3944.047319515678,4063.563904955547,-0.0373760461807251,-0.3864072859287262
3,3643.13,1,BUY_OR_CLOSE_SELL,0.08410872674021916,999.5,1,3983.8861813289677,3944.047319515678,4063.563904955547,-0.03519392013549805,-0.41370081901550293
4,3679.13,1,BUY_OR_CLOSE_SELL,19.497999999999994,1019.0,0,0.0,0.0,0.0,-0.034159064292907715,-0.4313472509384155
5,3689.8,1,BUY_OR_CLOSE_SELL,-0.012,1018.5,1,4142.3667865776115,4100.943118711835,4225.214122309164,-0.04419112205505371,-0.35212910175323486
6,3660.04,1,BUY_OR_CLOSE_SELL,0.16059044656817192,1018.5,1,4142.3667865776115,4100.943118711835,4225.214122309164,-0.03578341007232666,-0.3811259865760803
7,3644.36,1,BUY_OR_CLOSE_SELL,19.878000000000057,1038.38,0,0.0,0.0,0.0,-0.03466308116912842,-0.37073802947998047
8,3684.98,1,BUY_OR_CLOSE_SELL,-0.012,1037.88,1,4250.033465615802,4207.533130959644,4335.034134928118,-0.04544985294342041,-0.2730940282344818
9,3746.47,1,BUY_OR_CLOSE_SELL,20.26559999999998,1058.1476,0,0.0,0.0,0.0,-0.037322998046875,-0.2721925675868988
10,3764.19,1,BUY_OR_CLOSE_SELL,-0.012,1057.6476,1,4125.244302932802,4083.9918599034745,4207.749188991458,-0.047191619873046875,-0.16271215677261353
11,3736.29,1,BUY_OR_CLOSE_SELL,-0.08209840420881338,1057.6476,1,4125.244302932802,4083.9918599034745,4207.749188991458,-0.0364149808883667,-0.15633976459503174
12,3749.37,1,BUY_OR_CLOSE_SELL,4.1071966475693476e-05,1057.6476,1,4125.244302932802,4083.9918599034745,4207.749188991458,-0.03328502178192139,-0.16037826240062714
13,3760.24,1,BUY_OR_CLOSE_SELL,-0.03593190006806457,1057.6476,1,4125.244302932802,4083.9918599034745,4207.749188991458,-0.03222489356994629,-0.17959392070770264
14,3833.93,1,BUY_OR_CLOSE_SELL,-11.083475999999964,1046.566124,0,0.0,0.0,0.0,-0.03354799747467041,-0.21100884675979614
15,3858.51,1,BUY_OR_CLOSE_SELL,-0.012,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.03912365436553955,-0.24219964444637299
16,3865.8,1,BUY_OR_CLOSE_SELL,-0.06134580197851139,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.03269219398498535,-0.23225916922092438
17,3856.53,1,BUY_OR_CLOSE_SELL,0.1877979084073142,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.029351353645324707,-0.32615551352500916
18,3886.83,1,BUY_OR_CLOSE_SELL,0.12907071457257643,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.028257012367248535,-0.4388609826564789
19,3961.09,1,BUY_OR_CLOSE_SELL,0.12744632530825087,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.02791273593902588,-0.5553367137908936
20,3983.82,1,BUY_OR_CLOSE_SELL,-0.057022117043863584,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.027913570404052734,-0.611242949962616
21,4038.9,1,BUY_OR_CLOSE_SELL,0.07704413971801186,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.027238130569458008,-0.6585766077041626
22,3976.29,1,BUY_OR_CLOSE_SELL,0.0644338250190571,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.02690565586090088,-0.692538321018219
23,4018.3,1,BUY_OR_CLOSE_SELL,0.12235983948672276,1046.066124,1,3952.6944947362826,3913.1675497889196,4031.7483846310083,-0.026574254035949707,-0.722820520401001
24,4110.7,1,BUY_OR_CLOSE_SELL,20.429322480000007,1066.49744648,0,0.0,0.0,0.0,-0.025682568550109863,-0.7569954991340637
25,4142.31,1,BUY_OR_CLOSE_SELL,-0.012,1065.99744648,1,4126.811166305884,4085.5430546428256,4209.347389632002,-0.028559446334838867,-0.6328434944152832
26,4208.58,1,BUY_OR_CLOSE_SELL,0.18348238908110598,1065.99744648,1,4126.811166305884,4085.5430546428256,4209.347389632002,-0.02319014072418213,-0.6729117631912231
27,4326.18,1,BUY_OR_CLOSE_SELL,0.1130092274962265,1065.99744648,1,4126.811166305884,4085.5430546428256,4209.347389632002,-0.023540854454040527,-0.6537838578224182
28,4249.98,1,BUY_OR_CLOSE_SELL,-11.166974464799987,1054.8324720152,0,0.0,0.0,0.0,-0.024790048599243164,-0.5980468988418579
29,4356.5,1,BUY_OR_CLOSE_SELL,-0.012,1054.3324720152,1,4044.6719151158745,4004.2251959647156,4125.565353418192,-0.02971363067626953,-0.43651899695396423
30,4125.1,1,BUY_OR_CLOSE_SELL,0.058143074011846756,1054.3324720152,1,4044.6719151158745,4004.2251959647156,4125.565353418192,-0.026502490043640137,-0.4061494469642639
31,4094.07,1,BUY_OR_CLOSE_SELL,0.09425004927665338,1054.3324720152,1,4044.6719151158745,4004.2251959647156,4125.565353418192,-0.027213335037231445,-0.4098278284072876
32,4126.17,1,BUY_OR_CLOSE_SELL,0.08338186757950693,1054.3324720152,1,4044.6719151158745,4004.2251959647156,4125.565353418192,-0.02816641330718994,-0.39543288946151733
33,4112.1,1,BUY_OR_CLOSE_SELL,0.05301468453177065,1054.3324720152,1,4044.6719151158745,4004.2251959647156,4125.565353418192,-0.02914106845855713,-0.37906184792518616
34,3981.59,1,BUY_OR_CLOSE_SELL,20.594649440303993,1074.929121455504,0,0.0,0.0,0.0,-0.02884542942047119,-0.4052833914756775
35,3952.58,1,BUY_OR_CLOSE_SELL,-0.012,1074.429121455504,1,4131.20914488656,4089.897053437695,4213.833327784291,-0.03301119804382324,-0.39789751172065735
36,3930.38,1,BUY_OR_CLOSE_SELL,0.08465783929402732,1074.429121455504,1,4131.20914488656,4089.897053437695,4213.833327784291,-0.027489542961120605,-0.4201117157936096
