step,price,action,action_name,reward,balance,position,entry_price,sl,tp,log_prob,value_estimate
0,3626.48,1,BUY_OR_CLOSE_SELL,-0.012,999.5,1,3983.946633450772,3944.107167116264,4063.6255661197874,-0.3631606101989746,0.17423677444458008
1,3640.74,1,BUY_OR_CLOSE_SELL,0.13573869427663754,999.5,1,3983.946633450772,3944.107167116264,4063.6255661197874,-0.37535738945007324,0.16977453231811523
2,3634.09,1,BUY_OR_CLOSE_SELL,-0.021491354538829756,999.5,1,3983.946633450772,3944.107167116264,4063.6255661197874,-0.38409876823425293,0.1665424257516861
3,3643.13,1,BUY_OR_CLOSE_SELL,0.08404911323427698,999.5,1,3983.946633450772,3944.107167116264,4063.6255661197874,-0.3813786506652832,0.16756418347358704
4,3679.13,1,BUY_OR_CLOSE_SELL,19.498000000000008,1019.0,0,0.0,0.0,0.0,-0.3724818229675293,0.17094631493091583
5,3689.8,1,BUY_OR_CLOSE_SELL,-0.012,1018.5,1,4142.38953634537,4100.965640981916,4225.237327072277,-0.36321306228637695,0.17425408959388733
6,3660.04,1,BUY_OR_CLOSE_SELL,0.16061238592804472,1018.5,1,4142.38953634537,4100.965640981916,4225.237327072277,-0.3673675060272217,0.17293444275856018
7,3644.36,1,BUY_OR_CLOSE_SELL,19.87799999999992,1038.3799999999999,0,0.0,0.0,0.0,-0.3576643466949463,0.17675483226776123
8,3684.98,1,BUY_OR_CLOSE_SELL,-0.012,1037.8799999999999,1,4250.11098936566,4207.609879472004,4335.1132091529735,-0.35305309295654297,0.17837625741958618
9,3746.47,1,BUY_OR_CLOSE_SELL,20.265599999999985,1058.1475999999998,0,0.0,0.0,0.0,-0.3556342124938965,0.17764665186405182
10,3764.19,1,BUY_OR_CLOSE_SELL,-0.012,1057.6475999999998,1,4125.21216734993,4083.96004567643,4207.7164106969285,-0.35556602478027344,0.1774299442768097
11,3736.29,1,BUY_OR_CLOSE_SELL,-0.08211943985383242,1057.6475999999998,1,4125.21216734993,4083.96004567643,4207.7164106969285,-0.36760473251342773,0.1730513870716095
12,3749.37,1,BUY_OR_CLOSE_SELL,0.00023030894394534531,1057.6475999999998,1,4125.21216734993,4083.96004567643,4207.7164106969285,-0.36769652366638184,0.17296859622001648
13,3760.24,1,BUY_OR_CLOSE_SELL,-0.03584242924319865,1057.6475999999998,1,4125.21216734993,4083.96004567643,4207.7164106969285,-0.36774230003356934,0.1729453206062317
14,3833.93,1,BUY_OR_CLOSE_SELL,-11.083476000000042,1046.5661239999997,0,0.0,0.0,0.0,-0.3773210048675537,0.16921690106391907
15,3858.51,1,BUY_OR_CLOSE_SELL,-0.012,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.36028289794921875,0.1755402386188507
16,3865.8,1,BUY_OR_CLOSE_SELL,-0.061366282342705095,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.38031816482543945,0.16800105571746826
17,3856.53,1,BUY_OR_CLOSE_SELL,0.18770224007443256,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.36702871322631836,0.17308372259140015
18,3886.83,1,BUY_OR_CLOSE_SELL,0.12899340457166458,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.3678596019744873,0.17268845438957214
19,3961.09,1,BUY_OR_CLOSE_SELL,0.12748258948532057,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.36417722702026367,0.1740521490573883
20,3983.82,1,BUY_OR_CLOSE_SELL,-0.056807710345439535,1046.0661239999997,1,3952.694848817022,3913.167900328852,4031.7487457933626,-0.3725931644439697,0.17067107558250427
