step,price,action,action_name,action_mask,reward,balance,equity,position,entry_price,sl,tp,log_prob,value_estimate,info_balance,info_equity,info_position,info_entry_price,info_sl,info_tp,info_trade_executed,info_invalid_action,info_force_close,info_close_reason,info_reward
0,3999.72,1,OPEN_BUY,1110,-2.754861367829698,999.5,997.5064896656094,1,4197.317395604856,4155.344221648807,4281.263743516953,-0.2611844539642334,-1.1614755392074585,999.5,997.50649,1,4197.317396,4155.344222,4281.263744,True,False,False,,-2.75486137
1,4115.9,3,CLOSE_POSITION,1001,-0.576705433449501,996.9931210897462,996.9931210897462,0,0.0,0.0,0.0,-0.2597995102405548,-1.1638325452804565,996.993121,996.993121,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.57670543
2,4126.68,1,OPEN_BUY,1110,3.9295913648118708,996.4931210897462,1000.934712454558,1,4209.695859791992,4167.598901194072,4293.889776987832,-0.27028965950012207,-1.159737229347229,996.493121,1000.934712,1,4209.69586,4167.598901,4293.889777,True,False,False,,3.92959136
3,4198.73,3,CLOSE_POSITION,1001,-0.5620218692109055,1000.4346501209117,1000.4346501209117,0,0.0,0.0,0.0,-0.25723886489868164,-1.1539266109466553,1000.43465,1000.43465,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.56202187
4,4171.46,1,OPEN_BUY,1110,3.928211752208939,999.9346501209117,1004.3748618731206,1,4283.31941773479,4240.486223557442,4368.985806089486,-0.279890775680542,-1.1462931632995605,999.93465,1004.374862,1,4283.319418,4240.486224,4368.985806,True,False,False,,3.92821175
5,4079.58,3,CLOSE_POSITION,1001,-1.430460075759288,1003.0848418881973,1003.0848418881973,0,0.0,0.0,0.0,-0.25382569432258606,-1.1405773162841797,1003.084842,1003.084842,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-1.43046008
6,4044.61,1,OPEN_BUY,1110,-0.30700929931496274,1002.5848418881973,1002.8165453754098,1,4302.706113970199,4259.679052830497,4388.760236249604,-0.2891261577606201,-1.131833553314209,1002.584842,1002.816545,1,4302.706114,4259.679053,4388.760236,True,False,False,,-0.3070093
7,4067.88,3,CLOSE_POSITION,1001,-0.5544492325434394,1002.3232143590872,1002.3232143590872,0,0.0,0.0,0.0,-0.2502293884754181,-1.1256836652755737,1002.323214,1002.323214,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55444923
8,4081.66,1,OPEN_BUY,1110,-2.8017067543137837,1001.8232143590872,999.7861126622248,1,4341.122811363269,4297.711583249636,4427.945267590534,-0.2978360652923584,-1.11557137966156,1001.823214,999.786113,1,4341.122811,4297.711583,4427.945268,True,False,False,,-2.80170675
9,4077.5,3,CLOSE_POSITION,1001,-0.5808133197207699,999.2688047995149,999.2688047995149,0,0.0,0.0,0.0,-0.24606065452098846,-1.1059545278549194,999.268805,999.268805,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.58081332
10,4065.9,1,OPEN_BUY,1110,18.973376095990204,1018.2541808955051,1018.2541808955051,0,0.0,0.0,0.0,-0.30375218391418457,-1.094825267791748,1018.254181,1018.254181,0,0.0,0.0,0.0,True,False,True,TP,18.9733761
11,4139.7,1,OPEN_BUY,1110,9.326913463895664,1017.7541808955051,1027.5930943594008,1,4445.762676498885,4401.305049733896,4534.677930028864,-0.3028111457824707,-1.087597131729126,1017.754181,1027.593094,1,4445.762676,4401.30505,4534.67793,True,False,False,,9.32691346
12,4131.15,3,CLOSE_POSITION,1001,-0.5595549379863518,1027.0940990428528,1027.0940990428528,0,0.0,0.0,0.0,-0.2395799160003662,-1.080142855644226,1027.094099,1027.094099,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55955494
13,4164.59,1,OPEN_BUY,1110,1.323197363462612,1026.5940990428528,1028.4292964063154,1,4487.232276161328,4442.359953399714,4576.976921684554,-0.30800318717956543,-1.0720213651657104,1026.594099,1028.429296,1,4487.232276,4442.359953,4576.976922,True,False,False,,1.32319736
14,4157.57,3,CLOSE_POSITION,1001,-4.507591066541325,1024.3320990256575,1024.3320990256575,0,0.0,0.0,0.0,-0.23399090766906738,-1.0643686056137085,1024.332099,1024.332099,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-4.50759107
15,4230.63,1,OPEN_BUY,1110,-12.348572712037072,1013.0887780354009,1013.0887780354009,0,0.0,0.0,0.0,-0.3119544982910156,-1.0508533716201782,1013.088778,1013.088778,0,0.0,0.0,0.0,True,False,True,SL,-12.34857271
16,4232.73,1,OPEN_BUY,1110,2.812086514139481,1012.5887780354009,1015.9128645495404,1,4332.195458478702,4288.873503893915,4418.839367648276,-0.3105013370513916,-1.044851303100586,1012.588778,1015.912865,1,4332.195458,4288.873504,4418.839368,True,False,False,,2.81208651
17,4208.14,3,CLOSE_POSITION,1001,-0.5820734249726849,1015.3933103220742,1015.3933103220742,0,0.0,0.0,0.0,-0.2292972356081009,-1.044858694076538,1015.39331,1015.39331,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.58207342
18,4206.22,1,OPEN_BUY,1110,3.872990850332884,1014.8933103220742,1019.278301172407,1,4329.5527631172,4286.257235486028,4416.143818379544,-0.31539058685302734,-1.0384663343429565,1014.89331,1019.278301,1,4329.552763,4286.257235,4416.143818,True,False,False,,3.87299085
19,4208.69,3,CLOSE_POSITION,1001,-4.507252064144095,1015.1814127521758,1015.1814127521758,0,0.0,0.0,0.0,-0.2282690703868866,-1.03730046749115,1015.181413,1015.181413,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-4.50725206
20,4197.13,1,OPEN_BUY,1110,19.291628255043463,1034.4850410072193,1034.4850410072193,0,0.0,0.0,0.0,-0.31984686851501465,-1.0289899110794067,1034.485041,1034.485041,0,0.0,0.0,0.0,True,False,True,TP,19.29162826
21,4189.05,1,OPEN_BUY,1110,10.788143582754572,1033.9850410072193,1045.2851845899738,1,4448.645452596814,4404.158998070846,4537.618361648751,-0.318967342376709,-1.02936589717865,1033.985041,1045.285185,1,4448.645453,4404.158998,4537.618362,True,False,False,,10.78814358
22,4209.54,3,CLOSE_POSITION,1001,-0.5503889755921036,1044.7938047770633,1044.7938047770633,0,0.0,0.0,0.0,-0.22744831442832947,-1.028016448020935,1044.793805,1044.793805,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55038898
23,4228.55,1,OPEN_BUY,1110,-12.555135627965964,1033.3458667292928,1033.3458667292928,0,0.0,0.0,0.0,-0.32283496856689453,-1.0246247053146362,1033.345867,1033.345867,0,0.0,0.0,0.0,True,False,True,SL,-12.55513563
24,4283.28,1,OPEN_BUY,1110,7.223293297837871,1032.8458667292928,1040.5811600271306,1,4476.837838349707,4432.06945996621,4566.374595116702,-0.32158803939819336,-1.0206279754638672,1032.845867,1040.58116,1,4476.837838,4432.06946,4566.374595,True,False,False,,7.2232933
25,4302.43,3,CLOSE_POSITION,1001,1.5583359720239405,1042.1514959991546,1042.1514959991546,0,0.0,0.0,0.0,-0.2256004363298416,-1.0187417268753052,1042.151496,1042.151496,0,0.0,0.0,0.0,True,False,False,manual_close_buy,1.55833597
26,4302.7,1,OPEN_BUY,1110,-2.072697803822445,1041.6514959991546,1040.2707269878765,1,4593.986672100374,4548.04680537937,4685.8664055423815,-0.3262808322906494,-1.0169672966003418,1041.651496,1040.270727,1,4593.986672,4548.046805,4685.866406,True,False,False,,-2.0726978
27,4303.8,3,CLOSE_POSITION,1001,-0.5587450777552593,1039.7717206816615,1039.7717206816615,0,0.0,0.0,0.0,-0.22312963008880615,-1.0106016397476196,1039.771721,1039.771721,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55874508
28,4341.08,1,OPEN_BUY,1110,-2.060146948209761,1039.2717206816615,1037.9024066543493,1,4620.895428949207,4574.686474659715,4713.3133375281905,-0.3292958736419678,-1.0016028881072998,1039.271721,1037.902407,1,4620.895429,4574.686475,4713.313338,True,False,False,,-2.06014695
29,4332.4,3,CLOSE_POSITION,1001,-0.557786331379598,1037.4042753820522,1037.4042753820522,0,0.0,0.0,0.0,-0.21941326558589935,-0.9961235523223877,1037.404275,1037.404275,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.55778633
30,4338.55,1,OPEN_BUY,1110,8.447664011622408,1036.9042753820522,1045.8639393936746,1,4630.924476215591,4584.615231453436,4723.542965739904,-0.33269476890563965,-0.9828727841377258,1036.904275,1045.863939,1,4630.924476,4584.615231,4723.542966,True,False,False,,8.44766401
31,4445.95,3,CLOSE_POSITION,1001,-0.5483329957453713,1045.3744123909714,1045.3744123909714,0,0.0,0.0,0.0,-0.21498756110668182,-0.9848537445068359,1045.374412,1045.374412,0,0.0,0.0,0.0,True,False,False,manual_close_buy,-0.548333
32,4488.82,1,OPEN_BUY,1110,19.8954882478194,1065.2819006387908,1065.2819006387908,0,0.0,0.0,0.0,-0.3391605615615845,-0.9664714932441711,1065.281901,1065.281901,0,0.0,0.0,0.0,True,False,True,TP,19.89548825
33,4479.64,1,OPEN_BUY,1110,-12.75869087254851,1053.6290816324029,1053.6290816324029,0,0.0,0.0,0.0,-0.3265571594238281,-0.9877315163612366,1053.629082,1053.629082,0,0.0,0.0,0.0,True,False,True,SL,-12.75869087
34,4495.35,1,OPEN_BUY,1110,9.297500014039713,1053.1290816324029,1062.9385816464426,1,4936.846955581128,4887.478486025317,5035.583894692751,-0.3287632465362549,-0.9757769703865051,1053.129082,1062.938582,1,4936.846956,4887.478486,5035.583895,True,False,False,,9.29750001
35,4532.63,3,CLOSE_POSITION,1001,4.646171967644421,1067.596753614087,1067.596753614087,0,0.0,0.0,0.0,-0.21080376207828522,-1.001327395439148,1067.596754,1067.596754,0,0.0,0.0,0.0,True,False,False,manual_close_buy,4.64617197
36,4332.08,1,OPEN_BUY,1110,20.339935072281776,1087.9486886863688,1087.9486886863688,0,0.0,0.0,0.0,-0.32503724098205566,-0.9839969277381897,1087.948689,1087.948689,0,0.0,0.0,0.0,True,False,True,TP,20.33993507
37,4346.51,1,OPEN_BUY,1110,20.746973773727348,1108.7076624600961,1108.7076624600961,0,0.0,0.0,0.0,-0.31165242195129395,-1.0087966918945312,1108.707662,1108.707662,0,0.0,0.0,0.0,True,False,True,TP,20.74697377
38,4315.09,1,OPEN_BUY,1110,-13.189271725966202,1096.6205858354951,1096.6205858354951,0,0.0,0.0,0.0,-0.31125378608703613,-0.9999614953994751,1096.620586,1096.620586,0,0.0,0.0,0.0,True,False,True,SL,-13.18927173
39,4348.35,1,OPEN_BUY,1110,-13.057499008706474,1084.6543799771403,1084.6543799771403,0,0.0,0.0,0.0,-0.29673075675964355,-1.0261002779006958,1084.65438,1084.65438,0,0.0,0.0,0.0,True,False,True,SL,-13.05749901
40,4330.5,1,OPEN_BUY,1110,-12.927044018619386,1072.807836177369,1072.807836177369,0,0.0,0.0,0.0,-0.29505348205566406,-1.0159450769424438,1072.807836,1072.807836,0,0.0,0.0,0.0,True,False,True,SL,-12.92704402
41,4448.47,1,OPEN_BUY,1110,20.444156723547337,1093.2639929009163,1093.2639929009163,0,0.0,0.0,0.0,-0.2843341827392578,-1.0263546705245972,1093.263993,1093.263993,0,0.0,0.0,0.0,True,False,True,TP,20.44415672
42,4497.34,1,OPEN_BUY,1110,-13.020905596960976,1081.331352971907,1081.331352971907,0,0.0,0.0,0.0,-0.28157687187194824,-1.037671446800232,1081.331353,1081.331353,0,0.0,0.0,0.0,True,False,True,SL,-13.0209056
43,4453.04,1,OPEN_BUY,1110,-12.890816540991462,1069.518039442188,1069.518039442188,0,0.0,0.0,0.0,-0.28451967239379883,-1.030678629875183,1069.518039,1069.518039,0,0.0,0.0,0.0,True,False,True,SL,-12.89081654
44,4476.73,1,OPEN_BUY,1110,-12.762028375581446,1057.822859047766,1057.822859047766,0,0.0,0.0,0.0,-0.27474379539489746,-1.0577659606933594,1057.822859,1057.822859,0,0.0,0.0,0.0,True,False,True,SL,-12.76202838
