entry_step,exit_step,entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,lot_size,gross_profit,entry_commission,exit_commission,profit,net_profit,type,exit_reason,holding_period,balance_after_trade
22,23,2025-12-08 00:00:00,2025-12-09 00:00:00,long,4197.317395604856,4188.893887843975,4155.344221648807,4281.263743516953,0.0023824741036909233,-2.0068789102538416,0.5,0.5,-2.5068789102538416,-2.5068789102538416,manual_close_buy,manual_close_buy,1,996.9931210897462
24,25,2025-12-10 00:00:00,2025-12-11 00:00:00,long,4209.695859791992,4228.449736802905,4167.598901194072,4293.889776987832,0.002368325775294867,4.441529031165542,0.5,0.5,3.941529031165542,3.941529031165542,manual_close_buy,manual_close_buy,1,1000.4346501209117
26,27,2025-12-12 00:00:00,2025-12-15 00:00:00,long,4283.31941773479,4298.947562235163,4240.486223557442,4368.985806089486,0.002335652685575306,3.6501917672855866,0.5,0.5,3.1501917672855866,3.1501917672855866,manual_close_buy,manual_close_buy,1,1003.0848418881973
28,29,2025-12-16 00:00:00,2025-12-17 00:00:00,long,4302.706113970199,4303.728606430527,4259.679052830497,4388.760236249604,0.0023312882993131723,0.23837247088987604,0.5,0.5,-0.261627529110124,-0.261627529110124,manual_close_buy,manual_close_buy,1,1002.3232143590872
30,31,2025-12-18 00:00:00,2025-12-19 00:00:00,long,4341.122811363269,4332.225038593789,4297.711583249636,4427.945267590534,0.0023089031522799093,-2.0544095595722873,0.5,0.5,-2.5544095595722873,-2.5544095595722873,manual_close_buy,manual_close_buy,1,999.2688047995149
32,32,2025-12-22 00:00:00,2025-12-22 00:00:00,long,4339.067079802423,4425.848421398471,4295.676409004399,4425.848421398471,0.0023029577243710553,19.985376095990226,0.5,0.5,19.485376095990226,19.485376095990226,TP,TP,0,1018.2541808955051
33,34,2025-12-23 00:00:00,2025-12-24 00:00:00,long,4445.762676498885,4488.724386512008,4401.305049733896,4534.677930028864,0.002290392571511257,9.8399181473477,0.5,0.5,9.3399181473477,9.3399181473477,manual_close_buy,manual_close_buy,1,1027.0940990428528
35,36,2025-12-25 00:00:00,2025-12-26 00:00:00,long,4487.232276161328,4479.534341419882,4442.359953399714,4576.976921684554,0.002288925635740649,-1.762000017195283,0.5,0.5,-2.262000017195283,-2.262000017195283,manual_close_buy,manual_close_buy,1,1024.3320990256575
37,37,2025-12-29 00:00:00,2025-12-29 00:00:00,long,4540.772723872179,4495.364996633457,4495.364996633457,4631.5881783496225,0.002255854149317895,-10.243320990256656,0.5,0.5,-10.743320990256656,-10.743320990256656,SL,SL,0,1013.0887780354009
38,39,2025-12-30 00:00:00,2025-12-31 00:00:00,long,4332.195458478702,4346.32638172561,4288.873503893915,4418.839367648276,0.002338511241575324,3.304532286673343,0.5,0.5,2.804532286673343,2.804532286673343,manual_close_buy,manual_close_buy,1,1015.3933103220742
40,41,2026-01-01 00:00:00,2026-01-02 00:00:00,long,4329.5527631172,4332.913166439912,4286.257235486028,4416.143818379544,0.00234526142970714,0.7881024301016275,0.5,0.5,0.2881024301016275,0.2881024301016275,manual_close_buy,manual_close_buy,1,1015.1814127521758
42,42,2026-01-05 00:00:00,2026-01-05 00:00:00,long,4356.245808774009,4443.370724949489,4312.683350686269,4443.370724949489,0.002330404337394086,20.303628255043566,0.5,0.5,19.803628255043566,19.803628255043566,TP,TP,0,1034.4850410072193
43,44,2026-01-06 00:00:00,2026-01-07 00:00:00,long,4448.645452596814,4497.277069802439,4404.158998070846,4537.618361648751,0.002325393318101711,11.308763769844042,0.5,0.5,10.808763769844042,10.808763769844042,manual_close_buy,manual_close_buy,1,1044.7938047770633
45,45,2026-01-08 00:00:00,2026-01-08 00:00:00,long,4453.179312112133,4408.647518991012,4408.647518991012,4542.242898354375,0.002346175016881411,-10.447938047770593,0.5,0.5,-10.947938047770593,-10.947938047770593,SL,SL,0,1033.3458667292928
46,47,2026-01-09 00:00:00,2026-01-12 00:00:00,long,4476.837838349707,4519.319463870785,4432.06945996621,4566.374595116702,0.002308204817868083,9.805629269861798,0.5,0.5,9.305629269861798,9.305629269861798,manual_close_buy,manual_close_buy,1,1042.1514959991546
48,49,2026-01-13 00:00:00,2026-01-14 00:00:00,long,4593.986672100374,4587.904380376579,4548.04680537937,4685.8664055423815,0.002268512232149516,-1.3797753174930036,0.5,0.5,-1.8797753174930036,-1.8797753174930036,manual_close_buy,manual_close_buy,1,1039.7717206816615
50,51,2026-01-15 00:00:00,2026-01-16 00:00:00,long,4620.895428949207,4614.818304895323,4574.686474659715,4713.3133375281905,0.0022501520250115376,-1.3674452996092015,0.5,0.5,-1.8674452996092015,-1.8674452996092015,manual_close_buy,manual_close_buy,1,1037.4042753820522
52,53,2026-01-19 00:00:00,2026-01-20 00:00:00,long,4630.924476215591,4670.9667509732435,4584.615231453436,4723.542965739904,0.002240166689632181,8.970137008919195,0.5,0.5,8.470137008919195,8.470137008919195,manual_close_buy,manual_close_buy,1,1045.3744123909714
54,54,2026-01-21 00:00:00,2026-01-21 00:00:00,long,4763.612582535814,4858.8848341865305,4715.976456710456,4858.8848341865305,0.00219449922570002,20.90748824781948,0.5,0.5,20.40748824781948,20.40748824781948,TP,TP,0,1065.2819006387908
55,55,2026-01-22 00:00:00,2026-01-22 00:00:00,long,4837.037045970604,4788.666675510897,4788.666675510897,4933.777786890016,0.0022023438946497265,-10.652819006388002,0.5,0.5,-11.152819006388002,-11.152819006388002,SL,SL,0,1053.6290816324029
56,57,2026-01-23 00:00:00,2026-01-26 00:00:00,long,4936.846955581128,5006.978947135908,4887.478486025317,5035.583894692751,0.0021342145930638387,14.967671981684168,0.5,0.5,14.467671981684168,14.467671981684168,manual_close_buy,manual_close_buy,1,1067.596753614087
58,58,2026-01-27 00:00:00,2026-01-27 00:00:00,long,5014.912992150535,5115.211251993545,4964.76386222903,5115.211251993545,0.0021288440203950016,21.351935072281762,0.5,0.5,20.851935072281762,20.851935072281762,TP,TP,0,1087.9486886863688
59,59,2026-01-28 00:00:00,2026-01-28 00:00:00,long,5189.727570492623,5293.522121902476,5137.830294787697,5293.522121902476,0.002096350287965304,21.75897377372745,0.5,0.5,21.25897377372745,21.25897377372745,TP,TP,0,1108.7076624600961
60,60,2026-01-29 00:00:00,2026-01-29 00:00:00,long,5399.982690934905,5345.9828640255555,5345.9828640255555,5507.982344753603,0.0020531689190806356,-11.087076624601032,0.5,0.5,-11.587076624601032,-11.587076624601032,SL,SL,0,1096.6205858354951
61,61,2026-01-30 00:00:00,2026-01-30 00:00:00,long,5395.696981399468,5341.740011585473,5341.740011585473,5503.610921027458,0.002032398390079844,-10.966205858354991,0.5,0.5,-11.466205858354991,-11.466205858354991,SL,SL,0,1084.6543799771403
62,62,2026-02-02 00:00:00,2026-02-02 00:00:00,long,4799.813715191888,4751.815578039969,4751.815578039969,4895.809989495726,0.0022597843256793515,-10.846543799771398,0.5,0.5,-11.346543799771398,-11.346543799771398,SL,SL,0,1072.807836177369
63,63,2026-02-03 00:00:00,2026-02-03 00:00:00,long,4665.293267819606,4758.599133175998,4618.640335141409,4758.599133175998,0.002299550691866284,21.456156723547387,0.5,0.5,20.956156723547387,20.956156723547387,TP,TP,0,1093.2639929009163
64,64,2026-02-04 00:00:00,2026-02-04 00:00:00,long,4939.460026510201,4890.065426245099,4890.065426245099,5038.249227040405,0.0022133269366152214,-10.932639929009133,0.5,0.5,-11.432639929009133,-11.432639929009133,SL,SL,0,1081.331352971907
65,65,2026-02-05 00:00:00,2026-02-05 00:00:00,long,4963.821236664138,4914.183024297497,4914.183024297497,5063.097661397421,0.0021784252522731857,-10.813313529719144,0.5,0.5,-11.313313529719144,-11.313313529719144,SL,SL,0,1069.518039442188
66,66,2026-02-06 00:00:00,2026-02-06 00:00:00,long,4770.68322598014,4722.976393720339,4722.976393720339,4866.0968904997435,0.0022418550735412847,-10.695180394421916,0.5,0.5,-11.195180394421916,-11.195180394421916,SL,SL,0,1057.822859047766
